league,name,href,value
Nike Liga,Zemplin Michalovce,https://www.transfermarkt.com/zemplin-michalovce/kader/verein/13744/saison_id/2024,3680000
Nike Liga,MFK Dukla Banska Bystrica,https://www.transfermarkt.com/mfk-dukla-banska-bystrica/kader/verein/20758/saison_id/2024,3550000
Nike Liga,MFK Skalica,https://www.transfermarkt.com/mfk-skalica/kader/verein/35488/saison_id/2024,3050000
Prva Liga,NK Celje,https://www.transfermarkt.com/nk-celje/kader/verein/710/saison_id/2024,14400000
Prva Liga,NK Maribor,https://www.transfermarkt.com/nk-maribor/kader/verein/790/saison_id/2024,10700000
Prva Liga,NK Olimpija Ljubljana,https://www.transfermarkt.com/nk-olimpija-ljubljana/kader/verein/4772/saison_id/2024,9800000
Prva Liga,NS Mura,https://www.transfermarkt.com/ns-mura/kader/verein/4059/saison_id/2024,5750000
Prva Liga,NK Domzale,https://www.transfermarkt.com/nk-domzale/kader/verein/6248/saison_id/2024,5010000
Prva Liga,FC Koper,https://www.transfermarkt.com/fc-koper/kader/verein/433/saison_id/2024,4900000
Prva Liga,NK Bravo,https://www.transfermarkt.com/nk-bravo/kader/verein/26985/saison_id/2024,4600000
Prva Liga,ND Primorje,https://www.transfermarkt.com/nd-primorje/kader/verein/4507/saison_id/2024,3500000
Prva Liga,NK Radomlje,https://www.transfermarkt.com/nk-radomlje/kader/verein/21460/saison_id/2024,3300000
Prva Liga,NK Nafta 1903,https://www.transfermarkt.com/nk-nafta-1903/kader/verein/9233/saison_id/2024,2710000
Virsliga,FC RFS,https://www.transfermarkt.com/fc-rfs/kader/verein/33783/saison_id/2023,11480000
Virsliga,Riga FC,https://www.transfermarkt.com/riga-fc/kader/verein/48325/saison_id/2023,10880000
Virsliga,Valmiera FC,https://www.transfermarkt.com/valmiera-fc/kader/verein/5084/saison_id/2023,6150000
Virsliga,FK Auda,https://www.transfermarkt.com/fk-auda/kader/verein/8606/saison_id/2023,5900000
Virsliga,FK Liepaja,https://www.transfermarkt.com/fk-liepaja/kader/verein/43162/saison_id/2023,3800000
